student_id,event_timestamp,target,programming,database,problem_solving,communication,cloud_computing,teamwork,aptitude,industry_programming_requirement,industry_database_requirement,industry_problem_solving_requirement,industry_communication_requirement,industry_cloud_computing_requirement,industry_teamwork_requirement,industry_aptitude_requirement,programming_gap,database_gap,problem_solving_gap,communication_gap,cloud_computing_gap,teamwork_gap,aptitude_gap,technical_skill_avg,industry_requirement_avg,calculated_skill_gap,requirement_difference
CSE2610012,2026-08-01 00:11:00+00:00,High,2,3,1,4,4,4,2,5,5,5,3,5,4,4,3,2,4,0,1,0,2,2.857142857142857,4.428571428571429,1.7142857142857142,1.5714285714285716
CSE2610013,2026-08-01 00:12:00+00:00,Low,4,4,3,5,2,3,4,4,4,4,4,4,5,4,0,0,1,0,2,2,0,3.5714285714285716,4.142857142857143,0.7142857142857143,0.5714285714285716
CSE2610014,2026-08-01 00:13:00+00:00,Medium,4,4,3,4,2,3,5,5,4,4,5,5,3,4,1,0,1,1,3,0,0,3.5714285714285716,4.285714285714286,0.8571428571428571,0.714285714285714
CSE2610015,2026-08-01 00:14:00+00:00,Medium,5,3,1,3,5,4,3,5,4,4,4,4,5,5,0,1,3,1,0,1,2,3.4285714285714284,4.428571428571429,1.1428571428571428,1.0000000000000004
CSE2610016,2026-08-01 00:15:00+00:00,Low,3,4,5,3,3,4,4,3,5,5,4,5,4,5,0,1,0,1,2,0,1,3.7142857142857144,4.428571428571429,0.7142857142857143,0.7142857142857144
CSE2610017,2026-08-01 00:16:00+00:00,High,4,4,3,3,2,3,3,5,5,5,5,5,5,4,1,1,2,2,3,2,1,3.142857142857143,4.857142857142857,1.7142857142857142,1.714285714285714
CSE2610018,2026-08-01 00:17:00+00:00,High,2,1,3,3,5,3,3,4,5,5,5,3,4,4,2,4,2,2,0,1,1,2.857142857142857,4.285714285714286,1.7142857142857142,1.4285714285714284
CSE2610019,2026-08-01 00:18:00+00:00,Medium,4,2,3,3,3,2,4,4,5,5,4,5,4,4,0,3,2,1,2,2,0,3.0,4.428571428571429,1.4285714285714286,1.4285714285714288
CSE2610020,2026-08-01 00:19:00+00:00,Medium,3,4,2,1,5,3,3,4,4,3,4,4,4,3,1,0,1,3,0,1,0,3.0,3.7142857142857144,0.8571428571428571,0.7142857142857144
CSE2610021,2026-08-01 00:20:00+00:00,Medium,2,4,2,5,3,3,4,4,5,4,4,4,4,3,2,1,2,0,1,1,0,3.2857142857142856,4.0,1.0,0.7142857142857144
CSE2610022,2026-08-01 00:21:00+00:00,Medium,3,2,3,3,3,3,4,4,5,4,3,4,4,4,1,3,1,0,1,1,0,3.0,4.0,1.0,1.0
CSE2610023,2026-08-01 00:22:00+00:00,Medium,3,2,5,3,3,2,4,3,4,5,4,4,4,4,0,2,0,1,1,2,0,3.142857142857143,4.0,0.8571428571428571,0.8571428571428572
CSE2610024,2026-08-01 00:23:00+00:00,Low,3,4,4,4,4,3,4,4,4,4,3,3,4,4,1,0,0,0,0,1,0,3.7142857142857144,3.7142857142857144,0.2857142857142857,0.0
CSE2610025,2026-08-01 00:24:00+00:00,Medium,3,4,4,5,4,2,5,5,3,5,4,4,5,3,2,0,1,0,0,3,0,3.857142857142857,4.142857142857143,0.8571428571428571,0.28571428571428603
CSE2610026,2026-08-01 00:25:00+00:00,Medium,4,3,5,2,1,2,3,4,4,4,4,5,4,4,0,1,0,2,4,2,1,2.857142857142857,4.142857142857143,1.4285714285714286,1.285714285714286
CSE2610027,2026-08-01 00:26:00+00:00,Medium,3,5,3,1,2,2,3,4,4,4,4,4,5,3,1,0,1,3,2,3,0,2.7142857142857144,4.0,1.4285714285714286,1.2857142857142856
CSE2610028,2026-08-01 00:27:00+00:00,Medium,4,2,3,3,4,3,2,3,3,4,5,5,4,4,0,1,1,2,1,1,2,3.0,4.0,1.1428571428571428,1.0
CSE2610029,2026-08-01 00:28:00+00:00,Medium,4,3,3,2,3,4,4,4,5,3,5,3,4,5,0,2,0,3,0,0,1,3.2857142857142856,4.142857142857143,0.8571428571428571,0.8571428571428577
CSE2610030,2026-08-01 00:29:00+00:00,High,2,3,4,2,3,1,3,4,4,4,4,5,5,5,2,1,0,2,2,4,2,2.5714285714285716,4.428571428571429,1.8571428571428572,1.8571428571428572
CSE2610031,2026-08-01 00:30:00+00:00,Medium,2,5,4,4,4,3,2,5,4,4,5,4,5,4,3,0,0,1,0,2,2,3.4285714285714284,4.428571428571429,1.1428571428571428,1.0000000000000004
CSE2610032,2026-08-01 00:31:00+00:00,Medium,2,4,3,5,2,4,3,3,5,4,4,5,5,5,1,1,1,0,3,1,2,3.2857142857142856,4.428571428571429,1.2857142857142858,1.1428571428571432
CSE2610033,2026-08-01 00:32:00+00:00,Medium,3,2,3,3,5,4,4,4,5,4,4,5,3,4,1,3,1,1,0,0,0,3.4285714285714284,4.142857142857143,0.8571428571428571,0.7142857142857149
CSE2610034,2026-08-01 00:33:00+00:00,High,4,1,2,4,2,3,2,4,5,4,4,4,4,4,0,4,2,0,2,1,2,2.5714285714285716,4.142857142857143,1.5714285714285714,1.5714285714285716
CSE2610035,2026-08-01 00:34:00+00:00,Medium,4,5,4,1,3,4,2,4,5,4,4,4,5,4,0,0,0,3,1,1,2,3.2857142857142856,4.285714285714286,1.0,1.0
CSE2610036,2026-08-01 00:35:00+00:00,Medium,5,1,3,3,3,3,3,4,5,3,5,3,4,4,0,4,0,2,0,1,1,3.0,4.0,1.1428571428571428,1.0
CSE2610037,2026-08-01 00:36:00+00:00,Medium,5,4,3,3,2,4,5,3,5,5,4,4,4,5,0,1,2,1,2,0,0,3.7142857142857144,4.285714285714286,0.8571428571428571,0.5714285714285712
CSE2610038,2026-08-01 00:37:00+00:00,Medium,5,3,3,3,1,2,3,5,5,4,4,4,3,4,0,2,1,1,3,1,1,2.857142857142857,4.142857142857143,1.2857142857142858,1.285714285714286
CSE2610039,2026-08-01 00:38:00+00:00,Medium,2,4,3,3,3,2,4,4,4,4,5,4,4,5,2,0,1,2,1,2,1,3.0,4.285714285714286,1.2857142857142858,1.2857142857142856
CSE2610040,2026-08-01 00:39:00+00:00,Medium,3,4,2,2,3,3,2,4,4,5,4,4,4,4,1,0,3,2,1,1,2,2.7142857142857144,4.142857142857143,1.4285714285714286,1.4285714285714288
CSE2610041,2026-08-01 00:40:00+00:00,High,4,3,3,2,2,2,4,5,4,4,4,5,5,5,1,1,1,2,3,3,1,2.857142857142857,4.571428571428571,1.7142857142857142,1.714285714285714
CSE2610042,2026-08-01 00:41:00+00:00,Medium,4,5,4,3,3,4,1,4,5,3,4,4,3,5,0,0,0,1,1,0,4,3.4285714285714284,4.0,0.8571428571428571,0.5714285714285716
CSE2610043,2026-08-01 00:42:00+00:00,Medium,3,5,3,4,2,1,3,3,4,5,5,4,4,4,0,0,2,1,2,3,1,3.0,4.142857142857143,1.2857142857142858,1.1428571428571432
CSE2610044,2026-08-01 00:43:00+00:00,High,2,3,3,3,1,1,4,5,4,3,4,4,4,4,3,1,0,1,3,3,0,2.4285714285714284,4.0,1.5714285714285714,1.5714285714285716
CSE2610045,2026-08-01 00:44:00+00:00,Low,2,4,4,4,3,5,4,4,5,5,4,3,5,4,2,1,1,0,0,0,0,3.7142857142857144,4.285714285714286,0.5714285714285714,0.5714285714285712
CSE2610046,2026-08-01 00:45:00+00:00,Medium,2,3,4,2,4,3,2,3,4,4,4,5,4,4,1,1,0,2,1,1,2,2.857142857142857,4.0,1.1428571428571428,1.1428571428571428
CSE2610047,2026-08-01 00:46:00+00:00,Medium,5,3,2,5,4,3,3,4,5,4,4,4,5,5,0,2,2,0,0,2,2,3.5714285714285716,4.428571428571429,1.1428571428571428,0.8571428571428572
CSE2610048,2026-08-01 00:47:00+00:00,Low,4,3,3,5,5,1,3,4,3,4,4,4,3,4,0,0,1,0,0,2,1,3.4285714285714284,3.7142857142857144,0.5714285714285714,0.28571428571428603
CSE2610049,2026-08-01 00:48:00+00:00,Low,3,5,2,5,3,5,5,4,4,4,4,5,4,4,1,0,2,0,2,0,0,4.0,4.142857142857143,0.7142857142857143,0.14285714285714324
CSE2610050,2026-08-01 00:49:00+00:00,High,3,3,2,4,2,2,1,4,4,3,5,5,4,5,1,1,1,1,3,2,4,2.4285714285714284,4.285714285714286,1.8571428571428572,1.8571428571428572
CSE2610051,2026-08-01 00:50:00+00:00,Medium,3,4,3,2,3,4,4,5,4,3,3,4,5,5,2,0,0,1,1,1,1,3.2857142857142856,4.142857142857143,0.8571428571428571,0.8571428571428577
CSE2610052,2026-08-01 00:51:00+00:00,High,3,4,3,4,3,1,3,4,3,5,5,4,5,5,1,0,2,1,1,4,2,3.0,4.428571428571429,1.5714285714285714,1.4285714285714288
CSE2610053,2026-08-01 00:52:00+00:00,Medium,2,3,3,4,3,3,3,3,4,4,5,4,3,5,1,1,1,1,1,0,2,3.0,4.0,1.0,1.0
CSE2610054,2026-08-01 00:53:00+00:00,Medium,5,3,2,4,2,4,4,4,3,5,3,5,5,4,0,0,3,0,3,1,0,3.4285714285714284,4.142857142857143,1.0,0.7142857142857149
CSE2610055,2026-08-01 00:54:00+00:00,Medium,2,3,2,1,3,4,4,5,4,3,4,4,4,4,3,1,1,3,1,0,0,2.7142857142857144,4.0,1.2857142857142858,1.2857142857142856
CSE2610056,2026-08-01 00:55:00+00:00,Medium,2,2,3,4,2,3,4,4,5,3,5,4,5,4,2,3,0,1,2,2,0,2.857142857142857,4.285714285714286,1.4285714285714286,1.4285714285714284
CSE2610057,2026-08-01 00:56:00+00:00,Medium,4,1,1,3,3,4,4,3,4,4,4,5,5,4,0,3,3,1,2,1,0,2.857142857142857,4.142857142857143,1.4285714285714286,1.285714285714286
CSE2610058,2026-08-01 00:57:00+00:00,Medium,3,4,4,2,3,3,5,4,4,5,5,3,4,3,1,0,1,3,0,1,0,3.4285714285714284,4.0,0.8571428571428571,0.5714285714285716
CSE2610059,2026-08-01 00:58:00+00:00,Medium,2,4,3,3,4,3,2,5,5,3,4,5,3,3,3,1,0,1,1,0,1,3.0,4.0,1.0,1.0
CSE2610060,2026-08-01 00:59:00+00:00,Medium,4,1,3,4,4,4,4,4,4,5,5,4,5,5,0,3,2,1,0,1,1,3.4285714285714284,4.571428571428571,1.1428571428571428,1.1428571428571428
CSE2610061,2026-08-01 01:00:00+00:00,Medium,3,3,4,2,3,3,3,4,4,4,4,3,3,5,1,1,0,2,0,0,2,3.0,3.857142857142857,0.8571428571428571,0.8571428571428572
CSE2610062,2026-08-01 01:01:00+00:00,Medium,1,4,3,4,2,5,4,4,5,4,3,3,4,5,3,1,1,0,1,0,1,3.2857142857142856,4.0,1.0,0.7142857142857144
CSE2610063,2026-08-01 01:02:00+00:00,Medium,4,4,4,2,2,4,3,4,4,4,5,4,3,4,0,0,0,3,2,0,1,3.2857142857142856,4.0,0.8571428571428571,0.7142857142857144
CSE2610064,2026-08-01 01:03:00+00:00,Medium,1,3,4,4,5,5,3,4,4,5,5,5,5,4,3,1,1,1,0,0,1,3.5714285714285716,4.571428571428571,1.0,0.9999999999999996
CSE2610065,2026-08-01 01:04:00+00:00,Medium,5,4,2,3,4,3,1,5,4,3,3,5,5,4,0,0,1,0,1,2,3,3.142857142857143,4.142857142857143,1.0,1.0000000000000004
CSE2610066,2026-08-01 01:05:00+00:00,Medium,4,2,1,3,3,4,3,3,5,5,4,4,5,3,0,3,4,1,1,1,0,2.857142857142857,4.142857142857143,1.4285714285714286,1.285714285714286
CSE2610067,2026-08-01 01:06:00+00:00,Medium,4,5,2,4,4,4,1,4,4,5,4,4,4,4,0,0,3,0,0,0,3,3.4285714285714284,4.142857142857143,0.8571428571428571,0.7142857142857149
CSE2610068,2026-08-01 01:07:00+00:00,Medium,5,3,4,3,1,4,1,4,3,3,4,5,5,5,0,0,0,1,4,1,4,3.0,4.142857142857143,1.4285714285714286,1.1428571428571432
CSE2610069,2026-08-01 01:08:00+00:00,Medium,5,3,4,4,3,5,2,4,5,4,4,5,4,5,0,2,0,0,2,0,3,3.7142857142857144,4.428571428571429,1.0,0.7142857142857144
CSE2610070,2026-08-01 01:09:00+00:00,Medium,3,3,3,3,3,2,4,3,4,4,4,5,3,5,0,1,1,1,2,1,1,3.0,4.0,1.0,1.0
CSE2610071,2026-08-01 01:10:00+00:00,Medium,3,2,3,4,2,2,2,3,4,3,4,4,4,4,0,2,0,0,2,2,2,2.5714285714285716,3.7142857142857144,1.1428571428571428,1.1428571428571428
CSE2610072,2026-08-01 01:11:00+00:00,Medium,3,2,3,4,4,3,2,3,4,5,4,4,4,4,0,2,2,0,0,1,2,3.0,4.0,1.0,1.0
CSE2610073,2026-08-01 01:12:00+00:00,Low,3,2,5,5,5,3,3,4,4,5,5,4,4,4,1,2,0,0,0,1,1,3.7142857142857144,4.285714285714286,0.7142857142857143,0.5714285714285712
CSE2610074,2026-08-01 01:13:00+00:00,Medium,4,2,3,2,2,2,3,3,5,5,3,4,3,4,0,3,2,1,2,1,1,2.5714285714285716,3.857142857142857,1.4285714285714286,1.2857142857142856
CSE2610075,2026-08-01 01:14:00+00:00,Medium,4,2,4,3,4,4,3,5,5,4,5,3,4,4,1,3,0,2,0,0,1,3.4285714285714284,4.285714285714286,1.0,0.8571428571428572
CSE2610076,2026-08-01 01:15:00+00:00,Medium,5,3,4,4,3,2,4,5,4,5,3,5,4,5,0,1,1,0,2,2,1,3.5714285714285716,4.428571428571429,1.0,0.8571428571428572
CSE2610077,2026-08-01 01:16:00+00:00,Low,4,4,5,4,2,4,4,3,4,4,4,3,4,4,0,0,0,0,1,0,0,3.857142857142857,3.7142857142857144,0.14285714285714285,-0.1428571428571428
CSE2610078,2026-08-01 01:17:00+00:00,Medium,3,4,4,4,4,3,2,4,4,5,4,5,5,5,1,0,1,0,1,2,3,3.4285714285714284,4.571428571428571,1.1428571428571428,1.1428571428571428
CSE2610079,2026-08-01 01:18:00+00:00,High,1,4,3,2,2,4,2,4,4,4,4,5,4,4,3,0,1,2,3,0,2,2.5714285714285716,4.142857142857143,1.5714285714285714,1.5714285714285716
CSE2610080,2026-08-01 01:19:00+00:00,Medium,3,1,2,4,3,3,4,4,4,4,4,4,3,4,1,3,2,0,1,0,0,2.857142857142857,3.857142857142857,1.0,1.0
CSE2610081,2026-08-01 01:20:00+00:00,Low,2,4,4,4,4,2,5,3,4,3,3,4,4,3,1,0,0,0,0,2,0,3.5714285714285716,3.4285714285714284,0.42857142857142855,-0.14285714285714324
CSE2610082,2026-08-01 01:21:00+00:00,Medium,5,4,1,3,4,2,2,4,4,4,4,4,5,4,0,0,3,1,0,3,2,3.0,4.142857142857143,1.2857142857142858,1.1428571428571432
CSE2610083,2026-08-01 01:22:00+00:00,Medium,2,2,4,2,3,3,3,3,3,5,3,3,4,4,1,1,1,1,0,1,1,2.7142857142857144,3.5714285714285716,0.8571428571428571,0.8571428571428572
CSE2610084,2026-08-01 01:23:00+00:00,Medium,4,3,4,4,1,3,5,4,4,4,4,5,4,4,0,1,0,0,4,1,0,3.4285714285714284,4.142857142857143,0.8571428571428571,0.7142857142857149
CSE2610085,2026-08-01 01:24:00+00:00,Medium,1,4,4,3,4,2,4,5,3,5,5,3,4,4,4,0,1,2,0,2,0,3.142857142857143,4.142857142857143,1.2857142857142858,1.0000000000000004
CSE2610086,2026-08-01 01:25:00+00:00,High,4,3,1,1,4,4,4,5,5,4,4,5,5,4,1,2,3,3,1,1,0,3.0,4.571428571428571,1.5714285714285714,1.5714285714285712
CSE2610087,2026-08-01 01:26:00+00:00,Medium,3,3,2,4,3,3,4,4,5,4,4,4,3,4,1,2,2,0,1,0,0,3.142857142857143,4.0,0.8571428571428571,0.8571428571428572
CSE2610088,2026-08-01 01:27:00+00:00,High,3,1,4,3,2,4,3,5,4,5,4,5,4,4,2,3,1,1,3,0,1,2.857142857142857,4.428571428571429,1.5714285714285714,1.5714285714285716
CSE2610089,2026-08-01 01:28:00+00:00,High,4,2,3,3,2,2,2,4,5,4,4,4,4,4,0,3,1,1,2,2,2,2.5714285714285716,4.142857142857143,1.5714285714285714,1.5714285714285716
CSE2610090,2026-08-01 01:29:00+00:00,Medium,5,4,4,4,1,3,3,4,4,3,3,4,5,4,0,0,0,0,3,2,1,3.4285714285714284,3.857142857142857,0.8571428571428571,0.4285714285714288
CSE2610091,2026-08-01 01:30:00+00:00,Medium,3,4,2,5,1,2,4,4,4,5,4,4,3,4,1,0,3,0,3,1,0,3.0,4.0,1.1428571428571428,1.0
CSE2610092,2026-08-01 01:31:00+00:00,Low,4,3,4,2,2,3,4,4,4,5,3,3,4,4,0,1,1,1,1,1,0,3.142857142857143,3.857142857142857,0.7142857142857143,0.7142857142857144
CSE2610093,2026-08-01 01:32:00+00:00,Medium,3,1,2,3,5,2,3,4,4,3,3,4,4,3,1,3,1,0,0,2,0,2.7142857142857144,3.5714285714285716,1.0,0.8571428571428572
CSE2610094,2026-08-01 01:33:00+00:00,Medium,3,4,3,3,3,1,1,4,4,4,4,3,4,4,1,0,1,1,0,3,3,2.5714285714285716,3.857142857142857,1.2857142857142858,1.2857142857142856
CSE2610095,2026-08-01 01:34:00+00:00,High,3,3,3,2,4,2,2,4,4,5,4,5,4,4,1,1,2,2,1,2,2,2.7142857142857144,4.285714285714286,1.5714285714285714,1.5714285714285712
CSE2610096,2026-08-01 01:35:00+00:00,High,3,4,1,4,1,4,2,5,4,4,5,4,4,4,2,0,3,1,3,0,2,2.7142857142857144,4.285714285714286,1.5714285714285714,1.5714285714285712
CSE2610097,2026-08-01 01:36:00+00:00,Medium,3,2,3,3,4,3,1,5,4,4,4,4,4,4,2,2,1,1,0,1,3,2.7142857142857144,4.142857142857143,1.4285714285714286,1.4285714285714288
CSE2610098,2026-08-01 01:37:00+00:00,Low,3,4,3,3,3,4,4,4,5,3,4,3,4,4,1,1,0,1,0,0,0,3.4285714285714284,3.857142857142857,0.42857142857142855,0.4285714285714288
CSE2610099,2026-08-01 01:38:00+00:00,Medium,2,4,4,3,3,2,4,4,5,5,3,5,4,4,2,1,1,0,2,2,0,3.142857142857143,4.285714285714286,1.1428571428571428,1.1428571428571428
CSE2610100,2026-08-01 01:39:00+00:00,Low,3,4,3,3,4,3,3,4,4,4,3,4,4,3,1,0,1,0,0,1,0,3.2857142857142856,3.7142857142857144,0.42857142857142855,0.4285714285714288
CSE2610101,2026-08-01 01:40:00+00:00,Medium,3,4,5,3,2,1,3,3,5,4,3,4,4,5,0,1,0,0,2,3,2,3.0,4.0,1.1428571428571428,1.0
CSE2610102,2026-08-01 01:41:00+00:00,Medium,2,5,3,5,3,2,5,4,4,4,5,5,4,4,2,0,1,0,2,2,0,3.5714285714285716,4.285714285714286,1.0,0.714285714285714
CSE2610103,2026-08-01 01:42:00+00:00,Medium,2,2,5,5,4,4,1,4,4,4,3,4,5,5,2,2,0,0,0,1,4,3.2857142857142856,4.142857142857143,1.2857142857142858,0.8571428571428577
CSE2610104,2026-08-01 01:43:00+00:00,Medium,1,3,3,3,4,2,3,3,5,3,5,4,4,4,2,2,0,2,0,2,1,2.7142857142857144,4.0,1.2857142857142858,1.2857142857142856
CSE2610105,2026-08-01 01:44:00+00:00,High,3,3,2,3,3,4,2,3,5,4,4,5,5,5,0,2,2,1,2,1,3,2.857142857142857,4.428571428571429,1.5714285714285714,1.5714285714285716
CSE2610106,2026-08-01 01:45:00+00:00,Medium,2,5,1,4,4,2,3,4,5,3,4,5,4,4,2,0,2,0,1,2,1,3.0,4.142857142857143,1.1428571428571428,1.1428571428571432
CSE2610107,2026-08-01 01:46:00+00:00,Medium,3,3,2,4,5,4,3,4,4,4,4,3,5,4,1,1,2,0,0,1,1,3.4285714285714284,4.0,0.8571428571428571,0.5714285714285716
CSE2610108,2026-08-01 01:47:00+00:00,High,2,2,4,2,2,2,3,3,5,4,5,5,5,4,1,3,0,3,3,3,1,2.4285714285714284,4.428571428571429,2.0,2.0000000000000004
CSE2610109,2026-08-01 01:48:00+00:00,High,3,2,3,1,3,3,3,5,3,4,4,5,4,4,2,1,1,3,2,1,1,2.5714285714285716,4.142857142857143,1.5714285714285714,1.5714285714285716
CSE2610110,2026-08-01 01:49:00+00:00,Medium,2,3,3,3,4,2,5,3,4,5,5,5,4,5,1,1,2,2,1,2,0,3.142857142857143,4.428571428571429,1.2857142857142858,1.285714285714286
CSE2610111,2026-08-01 01:50:00+00:00,Medium,3,3,3,4,3,3,3,4,5,5,4,4,4,4,1,2,2,0,1,1,1,3.142857142857143,4.285714285714286,1.1428571428571428,1.1428571428571428
CSE2610112,2026-08-01 01:51:00+00:00,Low,4,3,3,3,3,3,3,3,3,4,5,4,3,4,0,0,1,2,1,0,1,3.142857142857143,3.7142857142857144,0.7142857142857143,0.5714285714285716
CSE2610113,2026-08-01 01:52:00+00:00,Medium,3,4,4,3,3,3,3,4,4,5,5,4,3,5,1,0,1,2,1,0,2,3.2857142857142856,4.285714285714286,1.0,1.0
CSE2610114,2026-08-01 01:53:00+00:00,Medium,4,3,4,3,2,5,3,5,3,5,4,5,4,4,1,0,1,1,3,0,1,3.4285714285714284,4.285714285714286,1.0,0.8571428571428572
CSE2610115,2026-08-01 01:54:00+00:00,Medium,3,2,4,4,5,1,4,5,4,3,5,4,4,5,2,2,0,1,0,3,1,3.2857142857142856,4.285714285714286,1.2857142857142858,1.0
CSE2610116,2026-08-01 01:55:00+00:00,Medium,5,3,3,4,4,3,2,3,4,4,3,4,5,4,0,1,1,0,0,2,2,3.4285714285714284,3.857142857142857,0.8571428571428571,0.4285714285714288
CSE2610117,2026-08-01 01:56:00+00:00,High,2,1,2,1,3,2,1,4,3,3,4,4,3,5,2,2,1,3,1,1,4,1.7142857142857142,3.7142857142857144,2.0,2.0
CSE2610118,2026-08-01 01:57:00+00:00,Low,4,3,4,2,4,4,4,4,3,4,3,4,4,4,0,0,0,1,0,0,0,3.5714285714285716,3.7142857142857144,0.14285714285714285,0.1428571428571428
CSE2610119,2026-08-01 01:58:00+00:00,Medium,3,3,3,2,4,3,4,4,4,4,5,4,4,5,1,1,1,3,0,1,1,3.142857142857143,4.285714285714286,1.1428571428571428,1.1428571428571428
CSE2610120,2026-08-01 01:59:00+00:00,Medium,3,3,3,3,4,4,4,4,5,4,5,3,4,4,1,2,1,2,0,0,0,3.4285714285714284,4.142857142857143,0.8571428571428571,0.7142857142857149
CSE2610121,2026-08-01 02:00:00+00:00,Low,4,5,4,5,3,3,3,4,3,4,5,4,5,4,0,0,0,0,1,2,1,3.857142857142857,4.142857142857143,0.5714285714285714,0.28571428571428603
CSE2610122,2026-08-01 02:01:00+00:00,High,3,4,3,3,1,2,4,4,4,5,4,5,5,3,1,0,2,1,4,3,0,2.857142857142857,4.285714285714286,1.5714285714285714,1.4285714285714284
CSE2610123,2026-08-01 02:02:00+00:00,Low,3,4,4,3,4,3,3,4,4,3,3,4,3,4,1,0,0,0,0,0,1,3.4285714285714284,3.5714285714285716,0.2857142857142857,0.14285714285714324
CSE2610124,2026-08-01 02:03:00+00:00,Medium,3,3,3,1,4,2,4,3,4,4,4,4,5,3,0,1,1,3,0,3,0,2.857142857142857,3.857142857142857,1.1428571428571428,1.0
CSE2610125,2026-08-01 02:04:00+00:00,Medium,5,2,2,1,3,3,4,5,3,4,4,5,4,4,0,1,2,3,2,1,0,2.857142857142857,4.142857142857143,1.2857142857142858,1.285714285714286
CSE2610126,2026-08-01 02:05:00+00:00,Low,4,4,4,4,3,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,0,3.857142857142857,3.2857142857142856,0.0,-0.5714285714285716
CSE2610127,2026-08-01 02:06:00+00:00,Medium,3,5,3,4,3,2,2,5,4,4,4,4,5,3,2,0,1,0,1,3,1,3.142857142857143,4.142857142857143,1.1428571428571428,1.0000000000000004
CSE2610128,2026-08-01 02:07:00+00:00,Low,4,2,3,3,4,3,5,5,3,4,3,4,4,4,1,1,1,0,0,1,0,3.4285714285714284,3.857142857142857,0.5714285714285714,0.4285714285714288
CSE2610129,2026-08-01 02:08:00+00:00,Medium,4,2,3,3,3,4,2,4,5,3,4,4,5,5,0,3,0,1,1,1,3,3.0,4.285714285714286,1.2857142857142858,1.2857142857142856
CSE2610130,2026-08-01 02:09:00+00:00,Medium,3,3,3,4,3,3,3,3,5,5,5,3,5,5,0,2,2,1,0,2,2,3.142857142857143,4.428571428571429,1.2857142857142858,1.285714285714286
CSE2610131,2026-08-01 02:10:00+00:00,High,2,2,4,1,2,3,5,5,4,5,4,4,4,4,3,2,1,3,2,1,0,2.7142857142857144,4.285714285714286,1.7142857142857142,1.5714285714285712
CSE2610132,2026-08-01 02:11:00+00:00,Medium,5,3,3,4,3,4,3,5,5,4,4,4,4,5,0,2,1,0,1,0,2,3.5714285714285716,4.428571428571429,0.8571428571428571,0.8571428571428572
CSE2610133,2026-08-01 02:12:00+00:00,Low,3,5,4,3,3,4,4,3,3,3,4,4,4,4,0,0,0,1,1,0,0,3.7142857142857144,3.5714285714285716,0.2857142857142857,-0.1428571428571428
CSE2610134,2026-08-01 02:13:00+00:00,Medium,4,4,4,1,4,3,3,5,5,4,5,4,5,4,1,1,0,4,0,2,1,3.2857142857142856,4.571428571428571,1.2857142857142858,1.2857142857142856
